"filename", "language", "YAML", "TypeScript", "Docker", "TypeScript JSX", "Markdown", "JSON", "MS SQL", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\.github\workflows\deploy-aca.yml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\dell\Documents\ScholarX\V2\web\AGENTS.md", "Markdown", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 39, 92
"c:\Users\dell\Documents\ScholarX\V2\web\Dockerfile", "Docker", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\ScholarX\V2\web\design-system\pages\opportunities.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 9, 48
"c:\Users\dell\Documents\ScholarX\V2\web\docs\AI-SEARCH-ENHANCEMENT-GUIDE.md", "Markdown", 0, 0, 0, 0, 417, 0, 0, 0, 0, 0, 162, 579
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle.config.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0005_course_categories.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 68, 0, 0, 4, 1, 73
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0006_course_completion_state.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 212, 0, 0, 23, 18, 253
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0007_repair_course_completion_state.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 374, 0, 0, 32, 31, 437
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0008_repair_course_completion_state_baseline_gap.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 374, 0, 0, 33, 31, 438
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\meta\_journal.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\dell\Documents\ScholarX\V2\web\next.config.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\opencode.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\dell\Documents\ScholarX\V2\web\scripts\baseline-drizzle-migrations.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 28, 168
"c:\Users\dell\Documents\ScholarX\V2\web\scripts\seed-lessons.ts", "TypeScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Users\dell\Documents\ScholarX\V2\web\scripts\server-error-logger.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\specs\005-opportunity-share-url\plan.md", "Markdown", 0, 0, 0, 0, 611, 0, 0, 0, 0, 0, 134, 745
"c:\Users\dell\Documents\ScholarX\V2\web\specs\005-opportunity-share-url\spec.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 26, 83
"c:\Users\dell\Documents\ScholarX\V2\web\specs\006-ai-loading-states\plan.md", "Markdown", 0, 0, 0, 0, 1176, 0, 0, 0, 0, 0, 219, 1395
"c:\Users\dell\Documents\ScholarX\V2\web\specs\006-ai-loading-states\spec.md", "Markdown", 0, 0, 0, 0, 307, 0, 0, 0, 0, 0, 89, 396
"c:\Users\dell\Documents\ScholarX\V2\web\specs\007-course-completion-state\plan.md", "Markdown", 0, 0, 0, 0, 978, 0, 0, 0, 0, 0, 292, 1270
"c:\Users\dell\Documents\ScholarX\V2\web\specs\007-course-completion-state\spec.md", "Markdown", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 78, 232
"c:\Users\dell\Documents\ScholarX\V2\web\src\actions\course.actions.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\_components\lesson-client-bridge.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\_components\lesson-meta.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\_components\video-player.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\page.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\opportunities\page.tsx", "TypeScript JSX", 0, 0, 0, -34, 0, 0, 0, 0, 0, -1, 0, -35
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\ai-search\ai-search.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 323, 33, 61, 417
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\ai-search\page.tsx", "TypeScript JSX", 0, 0, 0, -49, 0, 0, 0, 0, 0, -2, -8, -59
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[[...path]]\route-handlers.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[[...path]]\route.test.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\certificate\eligibility\route.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\certificate\route.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\lessons\[lessonId]\progress\route.ts", "TypeScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 13, 141
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\progress\route.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\opportunities\[id]\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\_components\SignoutButton.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 9, 46
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\opportunity\[id]\layout.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\opportunity\[id]\loading.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\opportunity\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\sentry-test\_components\sentry-test-client.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\sentry-test\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 361, 0, 0, 0, 0, 0, 1, 19, 381
