"filename", "language", "Markdown", "TypeScript", "JSON", "MS SQL", "Skill", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-analyze\SKILL.md", "Skill", 0, 0, 0, 0, 177, 0, 0, 0, 79, 256
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-checklist\SKILL.md", "Skill", 0, 0, 0, 0, 291, 0, 0, 0, 77, 368
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-clarify\SKILL.md", "Skill", 0, 0, 0, 0, 206, 0, 0, 0, 44, 250
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-constitution\SKILL.md", "Skill", 0, 0, 0, 0, 120, 0, 0, 0, 33, 153
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-implement\SKILL.md", "Skill", 0, 0, 0, 0, 169, 0, 0, 0, 36, 205
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-plan\SKILL.md", "Skill", 0, 0, 0, 0, 113, 0, 0, 0, 35, 148
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-specify\SKILL.md", "Skill", 0, 0, 0, 0, 253, 0, 0, 0, 73, 326
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-tasks\SKILL.md", "Skill", 0, 0, 0, 0, 158, 0, 0, 0, 40, 198
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-taskstoissues\SKILL.md", "Skill", 0, 0, 0, 0, 80, 0, 0, 0, 22, 102
"c:\Users\dell\Documents\ScholarX\V2\web\.specify\integrations\codex.manifest.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\dell\Documents\ScholarX\V2\web\.specify\integrations\speckit.manifest.json", "JSON", 0, 0, -10, 0, 0, 0, 0, 0, 0, -10
"c:\Users\dell\Documents\ScholarX\V2\web\AGENTS.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, -2, -1
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0009_course_applications.sql", "MS SQL", 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0010_course_auto_approve_applications.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\0011_align_course_application_age_check.sql", "MS SQL", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\dell\Documents\ScholarX\V2\web\drizzle\meta\_journal.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\dell\Documents\ScholarX\V2\web\next.config.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\Users\dell\Documents\ScholarX\V2\web\specs\008-certificate-pdf-pipeline\plan.md", "Markdown", 971, 0, 0, 0, 0, 0, 0, 0, 341, 1312
"c:\Users\dell\Documents\ScholarX\V2\web\specs\008-certificate-pdf-pipeline\spec.md", "Markdown", 705, 0, 0, 0, 0, 0, 0, 0, 249, 954
"c:\Users\dell\Documents\ScholarX\V2\web\specs\009-course-application-form\checklists\requirements.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 10, 36
