"filename", "language", "Markdown", "JSON with Comments", "Skill", "JSON", "Ignore", "YAML", "Python", "CSV", "Log", "TypeScript", "TypeScript JSX", "PowerShell", "Shell Script", "MS SQL", "Docker", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-analyze\SKILL.md", "Skill", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 256
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-checklist\SKILL.md", "Skill", 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 368
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-clarify\SKILL.md", "Skill", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 250
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-constitution\SKILL.md", "Skill", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-git-commit\SKILL.md", "Skill", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 53
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-git-feature\SKILL.md", "Skill", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 72
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-git-initialize\SKILL.md", "Skill", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-git-remote\SKILL.md", "Skill", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 50
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-git-validate\SKILL.md", "Skill", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-implement\SKILL.md", "Skill", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 205
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-plan\SKILL.md", "Skill", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 148
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-specify\SKILL.md", "Skill", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 331
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-tasks\SKILL.md", "Skill", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 198
"c:\Users\dell\Documents\ScholarX\V2\web\.agent\skills\speckit-taskstoissues\SKILL.md", "Skill", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 112
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-analyze\SKILL.md", "Skill", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 256
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-checklist\SKILL.md", "Skill", 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 368
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-clarify\SKILL.md", "Skill", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 250
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-constitution\SKILL.md", "Skill", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 153
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-implement\SKILL.md", "Skill", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 205
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-plan\SKILL.md", "Skill", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 148
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-specify\SKILL.md", "Skill", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 326
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-tasks\SKILL.md", "Skill", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 198
"c:\Users\dell\Documents\ScholarX\V2\web\.agents\skills\speckit-taskstoissues\SKILL.md", "Skill", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 102
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\SKILL.md", "Skill", 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 293
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\charts.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\colors.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\icons.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\landing.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\products.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\react-performance.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\dell\Documents\ScholarX\V2\web\.codex\skills\ui-ux-pro-max\data\stacks\astro.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
